R2-PINH,158.87,5.08,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,86.36,46.99,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,148.59,48.26,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,156.21,50.80,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,116.84,52.07,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,64.77,12.70,180.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,67.31,15.24,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,39.37,48.26,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,41.01,22.66,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,44.45,22.86,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,47.89,22.96,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.12,27.94,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,108.94,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,20.32,107.95,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.36,62.23,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.40,107.95,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,69.54,27.94,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.72,107.95,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,156.22,11.43,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,63.50,10.16,0.00,,SJ
TP1,12.70,72.39,0.00,TPTP20R,TP20R
TP10,72.39,6.35,0.00,TPTP20R,TP20R
TP11,17.60,27.64,0.00,TPTP20R,TP20R
TP12,34.82,19.51,0.00,TPTP20R,TP20R
TP13,52.13,43.86,0.00,TPTP20R,TP20R
TP14,139.70,63.50,0.00,TPTP20R,TP20R
TP15,102.13,64.13,0.00,TPTP20R,TP20R
TP16,70.24,39.31,0.00,TPTP20R,TP20R
TP17,105.07,15.24,0.00,TPTP20R,TP20R
TP2,17.78,72.39,0.00,TPTP20R,TP20R
TP3,123.19,62.23,0.00,TPTP20R,TP20R
TP4,34.31,24.63,0.00,TPTP20R,TP20R
TP5,33.95,27.73,0.00,TPTP20R,TP20R
TP6,36.81,6.28,0.00,TPTP20R,TP20R
TP7,37.62,11.24,0.00,TPTP20R,TP20R
TP8,38.22,15.75,0.00,TPTP20R,TP20R
TP9,13.90,23.71,0.00,TPTP20R,TP20R
U1,45.72,55.88,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.10,54.61,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.55,54.61,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,134.62,54.61,0.00,MAX17048G+T10,SON50P200X200X80-9N
